,price,total_square,rooms,floor
115,10099999,35,1,2
116,13169486,37,2,19
117,32000000,48,1,11
118,22000000,54,2,1
119,8200000,65,2,6
120,8950000,53,2,16
121,28215000,51,2,2
122,20800000,69,3,6
123,13900000,32,1,4
124,9701054,36,1,15
125,41565498,72,2,25
126,9836852,39,1,23
127,9851047,25,1,20
128,22800000,78,3,13
129,10498999,41,2,2
130,15319646,63,3,18
131,11700000,60,2,6
132,13600000,44,2,3
133,42475952,99,3,11
134,11299000,65,2,13
135,10195464,36,1,15
136,14500000,53,1,4
137,11600000,38,1,9
138,7000000,40,2,5
139,14700000,43,2,19
140,17093468,40,1,7
141,13750000,44,2,1
142,37157500,83,2,3
143,17100000,56,2,14
144,11799000,45,2,5
145,6950000,30,1,14
146,18845624,35,1,20
147,21999000,85,3,4
148,11646180,36,1,16
149,35000000,98,3,8
150,26618127,80,3,26
151,10999999,31,1,3
152,19200000,79,3,3
153,13500000,63,2,2
154,14979800,62,2,9
155,18838804,64,2,5
156,23300000,56,2,7
157,26947528,50,1,13
158,11173658,40,2,10
159,9850000,76,3,13
160,6000000,42,2,2
161,14450000,42,1,4
162,10250000,25,1,3
163,9600000,76,2,15
164,39999999,76,3,4
165,26000000,72,3,2
166,22000000,51,2,13
167,12800000,70,2,8
168,5200000,29,1,1
169,21000000,105,3,15
170,20244900,58,2,29
171,8711645,72,3,12
172,4500000,31,1,1
173,11689742,45,2,25
174,15970240,38,2,20
175,11200000,45,1,8
176,8553702,24,1,23
177,9590000,56,2,7
178,16499000,51,2,11
179,8100000,44,1,14
180,8000000,54,2,17
181,12000000,64,2,21
182,13500000,44,1,8
183,7500000,44,2,3
184,8650000,50,2,5
185,6900000,35,1,10
186,18688892,45,1,3
187,8200000,55,2,3
188,10900000,55,2,7
189,14700000,55,2,2
190,12503895,50,3,9
191,18770000,35,1,23
192,7871621,29,1,4
193,16630480,37,1,7
194,13000000,43,1,19
195,31500000,84,3,13
196,11990000,39,2,23
197,29800000,72,3,10
198,11500000,80,3,14
199,10807314,41,1,4
200,30807000,94,3,16
201,27450000,46,1,5
202,15800000,58,2,15
203,27786732,61,2,7
204,16448947,64,3,7
205,13032732,56,2,17
206,33500000,78,3,3
207,9300000,38,1,5
208,5900000,32,1,2
209,7919590,62,2,16
210,10995000,38,1,3
211,22500000,115,4,2
212,8700000,37,1,7
213,16666650,46,2,7
214,5450000,45,2,4
215,18800000,54,2,16
216,14300000,54,2,2
217,12000000,36,2,9
218,9600000,44,2,1
219,13576974,52,2,9
220,6310054,42,1,15
221,35315806,81,3,2
222,19000000,66,2,15
223,20600000,101,3,17
224,12762140,55,2,25
225,24100000,72,3,5
226,18000000,63,3,7
227,22650000,50,2,9
228,11499000,40,1,11
229,12353041,37,1,17
230,9500000,36,1,18
231,25500000,75,3,3
232,9900000,74,3,3
233,9365544,44,2,3
234,9329717,24,1,22
235,8500000,53,1,6
236,8700000,41,1,10
237,38000000,81,3,12
238,7500000,58,2,6
239,12000000,44,2,9
240,33100000,80,3,8
241,17850000,53,1,10
242,10350000,51,2,10
243,11800000,36,1,2
244,8617137,23,1,12
245,32000000,92,3,18
246,7988437,23,1,9
247,9350000,49,2,9
248,12550000,44,2,3
249,15200000,41,1,18
250,10700000,39,1,10
251,12568248,55,2,10
252,10384300,42,2,14
253,10890000,80,3,18
254,14601001,67,2,6
255,17100000,54,2,11
256,7200000,32,1,6
257,16401600,80,3,4
258,13750000,56,3,2
259,6999999,41,1,2
260,18392100,60,3,9
261,20900000,40,1,4
262,9300000,55,1,4
263,12800000,38,1,19
264,8743128,35,1,15
265,9000000,54,2,13
266,6400000,35,1,9
267,12387507,42,2,2
268,8650000,63,2,4
269,33455445,47,2,17
270,7999999,21,1,5
271,15900000,60,2,7
272,12800000,58,2,22
273,32000000,62,1,18
274,13000000,68,3,4
275,8802680,35,1,10
276,12328420,32,1,15
277,14180000,51,2,5
278,6299000,38,1,6
279,10700000,62,2,7
280,24924000,67,2,19
281,22500000,59,2,8
282,21900000,74,3,2
283,7300000,40,1,1
284,11000000,62,2,14
285,11746790,25,1,19
286,32800000,103,3,3
287,11000000,30,1,2
288,14213880,87,3,16
289,26300000,78,3,8
290,9500000,44,2,8
291,29748862,55,2,25
292,29700000,43,2,2
293,4950000,41,2,2
294,14000000,76,3,22
295,10500000,60,3,3
296,18569050,55,2,26
297,6100000,35,1,12
298,17900000,38,1,16
299,36698524,77,2,10
300,31800000,83,3,16
301,8200000,55,2,13
302,14086000,50,2,7
303,13000000,36,1,7
304,10700000,24,1,5
305,13196700,39,1,25
306,15992158,58,2,5
307,19500000,71,2,4
308,13026200,38,1,26
309,11250000,47,2,2
310,15279672,56,2,11
311,13500000,39,2,6
312,7990000,42,1,5
313,22800000,76,3,13
314,10700000,50,2,1
315,10800000,32,1,18
316,44239084,83,2,9
317,33000000,67,3,3
318,6300000,32,1,8
319,9459810,27,1,4
320,12800000,62,3,11
321,4900000,39,1,16
322,8600000,35,1,1
323,11700000,34,1,8
324,12500000,58,3,6
325,16700000,65,3,10
326,29113740,90,3,8
327,12200000,44,2,2
328,27500000,51,2,14
329,17950000,41,1,26
330,28171100,41,1,20
331,17600000,100,3,14
332,26359667,68,3,27
333,5800000,30,1,5
334,15200000,75,3,6
335,35207893,66,2,3
336,18306120,39,1,22
337,33258280,75,2,5
338,7500000,34,1,15
339,5500000,36,1,2
340,10181393,33,1,20
341,6600000,33,1,6
342,28700000,68,2,2
343,5650000,30,1,4
344,12990000,60,3,7
345,10000000,42,1,3
346,36499000,67,2,2
347,13000000,52,1,2
348,21699000,60,2,11
349,24099600,76,3,6
350,43514580,68,3,13
351,20560000,43,1,17
352,12200000,44,2,3
353,18500000,41,2,9
354,6950000,48,2,5
355,17439368,69,2,20
356,32461200,71,2,2
357,15007420,43,1,9
358,24500000,94,3,5
359,10000000,29,1,2
360,14795211,62,3,14
361,9759506,40,2,7
362,5700000,33,1,1
363,11010092,35,1,21
364,10000000,63,3,4
365,11599971,36,2,23
366,15500000,89,3,10
367,28000000,43,1,4
368,14000000,69,2,17
369,32500000,73,2,10
370,16500000,57,2,2
371,14538982,49,2,13
372,7990000,53,3,1
373,23909600,76,3,4
374,21610808,98,4,13
375,5600000,46,2,4
376,26991402,93,2,7
377,35988969,61,2,7
378,18900000,104,3,10
379,5400000,34,1,5
380,14633448,61,3,13
381,7490000,38,1,17
382,12219820,59,2,10
383,17500000,47,2,4
384,17311902,69,3,4
385,15000000,77,2,8
386,12000000,60,2,6
387,17015077,44,2,2
388,42000000,113,3,6
389,7284401,20,1,24
390,30450000,94,4,6
391,15900000,91,3,11
392,19322707,65,2,5
393,23500000,62,2,5
394,9587970,39,1,9
395,12009480,34,1,6
396,15700000,64,2,13
397,19983320,41,1,5
398,14700000,49,3,3
399,12700000,44,2,2
400,13150000,35,1,14
401,18734235,57,2,13
402,4600601,23,1,6
403,31000000,78,3,11
404,12500000,68,3,13
405,7300000,43,1,12
406,7411510,37,1,5
407,10800000,42,2,8
408,28515994,59,2,14
409,15099999,55,2,5
410,12500000,70,3,18
411,14812720,42,2,22
412,34035976,98,3,13
413,13900000,64,3,9
414,11500000,31,1,2
415,29000000,94,3,8
416,16500000,50,2,3
417,13921600,45,1,19
418,11990000,59,2,6
419,14300000,57,2,20
420,30500000,106,3,11
421,41671820,73,2,7
422,16786440,47,2,6
423,21142336,73,4,12
424,13056825,36,1,21
425,28000000,95,3,3
426,20500000,41,1,12
427,9500000,37,1,12
428,10300000,33,1,12
429,29830000,58,2,26
430,8700000,32,1,22
431,21100000,45,1,13
432,17388224,74,3,5
433,33500000,75,3,21
434,7499000,46,1,2
435,20800000,75,3,1
436,33500000,66,2,19
437,9800000,35,1,3
438,10608260,86,2,5
439,36324320,87,3,26
440,11300000,23,1,2
441,17237810,50,1,26
442,15704640,46,2,12
443,5500000,31,1,6
444,16127618,75,4,9
445,6550000,37,1,21
446,16963500,78,3,15
447,9693111,61,2,22
448,8426018,54,3,17
449,6310054,42,1,12
450,10244958,57,2,2
451,16823556,65,2,16
452,10049559,34,1,2
453,12923097,61,3,3
454,9500000,45,1,14
455,18950000,76,3,2
456,8209131,19,1,12
457,9857040,61,3,19
458,11736900,48,1,5
459,32500000,120,3,2
460,10500000,43,2,2
461,4900000,30,1,3
462,16798000,52,2,17
463,13185600,49,1,2
464,15084248,56,2,9
465,19600000,66,2,8
466,23700000,57,2,10
467,21500000,82,3,8
468,12990000,94,3,4
469,35000000,67,3,10
470,16700000,60,2,1
471,6218244,37,1,18
472,6350000,39,1,2
473,13400000,52,2,3
474,23700000,62,2,5
475,13700000,52,2,11
476,33535500,84,2,2
477,8000000,48,2,4
478,15100000,50,2,11
479,17900000,58,2,5
480,10700000,35,1,11
481,16200000,84,3,10
482,47000000,107,3,5
483,24500000,79,3,6
484,19300000,59,3,3
485,18190000,37,1,3
486,8800000,27,1,10
487,19500000,94,3,15
488,10500000,62,3,8
489,9124200,27,1,10
490,7500000,54,2,14
491,6876221,35,2,21
492,29683311,81,3,5
493,7658871,22,1,12
494,16233126,59,3,6
495,11500000,36,2,2
496,9500000,37,1,1
497,45000000,55,3,16
498,7150000,52,1,4
499,15300000,61,4,7
500,5300000,43,2,5
501,11000000,37,1,18
502,23000000,81,3,9
503,14300000,37,1,8
504,12500000,46,2,9
505,10400000,45,2,5
506,26422634,103,3,2
507,16900000,110,3,11
508,10321020,28,1,19
509,18350000,63,3,11
510,20451051,40,1,9
511,22800000,68,2,11
512,8000000,49,1,16
513,13900000,44,1,6
514,6500000,52,2,4
515,9200000,36,1,4
516,12750000,81,3,12
517,13490000,80,3,21
518,15000000,44,2,16
519,20000000,82,3,4
520,8700000,39,1,12
521,6316160,20,1,13
522,24800000,59,1,9
523,15000000,58,3,8
524,47000000,127,4,4
525,7915800,27,1,9
526,21790000,37,1,24
527,42700000,61,2,7
528,7900000,42,2,20
529,15650000,74,3,3
530,16000000,75,3,10
531,6400000,34,1,4
532,18994500,40,2,27
533,16289299,40,2,25
534,13490000,40,1,2
535,11499000,44,2,7
536,13750000,70,2,6
537,5500000,33,1,11
538,12990000,40,1,14
539,14000000,40,1,17
540,33000000,68,3,9
541,28000000,75,3,15
542,7279826,20,1,24
543,19913300,47,1,23
544,10000000,46,2,3
545,26000276,105,3,11
546,40000000,100,3,2
547,7080314,22,1,4
548,19500000,89,3,1
549,18200000,55,2,12
550,13200000,73,3,13
551,25900000,69,2,26
552,13777000,60,2,3
553,26460000,68,3,26
554,15000000,39,1,3
555,13000000,50,2,1
556,41055836,68,2,10
557,19500000,72,3,5
558,11800000,63,2,8
559,43095092,98,3,8
560,10900000,44,2,10
561,9100000,52,2,4
562,12700000,55,3,9
563,21600000,64,2,20
564,32000000,50,2,17
565,21353655,55,2,22
566,25000000,57,2,7
567,16080000,53,2,13
568,9000000,59,3,11
569,6590000,34,2,16
570,14200000,53,2,6
571,8300000,52,2,2
572,12500000,30,1,2
573,14735226,62,3,18
574,13000000,60,2,5
575,35000000,91,3,2
576,10200000,38,2,17
577,20000000,45,1,3
578,26310182,65,2,19
579,22500000,77,3,7
580,17000000,52,2,13
581,41055837,68,2,10
582,16995900,89,4,24
583,13800000,54,2,8
584,16000000,63,3,3
585,11076329,65,3,6
586,11000000,44,1,2
587,10723386,42,2,2
588,12500000,38,1,4
589,18722000,81,3,10
590,5990000,41,1,10
591,16500000,62,2,14
592,10859000,64,2,10
593,15088908,40,1,3
594,18000000,107,4,17
595,11800000,47,1,9
596,33208200,87,3,5
597,12700000,41,1,16
598,6300000,42,1,5
599,14733252,77,3,9
600,11312542,44,1,4
601,11500000,40,2,5
602,9999999,55,2,13
603,9650000,34,1,25
604,6749952,26,1,15
605,22000000,90,4,5
606,22000000,65,3,4
607,33400000,70,3,9
608,10990000,42,2,3
609,6500000,37,1,3
610,24700000,68,2,5
611,12800000,45,2,3
612,9500000,58,2,10
613,10600000,50,2,3
614,41990000,74,3,7
615,26500000,84,3,4
616,14600000,41,2,5
617,7350000,47,1,14
618,29800000,70,2,12
619,13400000,66,2,12
620,28000000,91,4,7
621,13000000,44,2,12
622,28350000,60,3,23
623,6800000,47,2,2
624,15200000,48,2,3
625,22000000,87,3,13
626,9200000,31,1,1
627,10121541,38,1,12
628,8800000,34,1,6
629,10600000,83,3,14
630,12600000,53,2,23
631,9800000,76,3,2
632,15946000,62,2,2
633,15800000,56,2,8
634,20000000,60,2,11
635,9900000,32,1,3
636,14000000,82,4,16
637,11700000,52,2,5
638,10500000,32,1,8
639,16800000,67,3,2
640,18500000,53,2,14
641,13200000,47,2,9
642,35490000,66,2,18
643,9290249,33,1,4
644,12121610,71,2,11
645,42500000,117,3,15
646,7350000,44,2,6
647,10200000,37,1,5
648,9450000,33,1,12
649,16500000,87,3,6
650,12900000,39,1,14
651,12500000,62,2,11
652,8200000,43,1,18
653,26000000,79,3,2
654,24500000,76,3,6
655,19000000,53,2,11
656,15800000,43,2,5
657,31500000,80,3,8
658,5200000,26,1,5
659,11550000,35,1,23
660,9850000,49,2,7
661,30868688,70,3,18
662,18134228,44,1,7
663,8650000,49,1,2
664,9800000,46,1,4
665,19990000,81,2,16
666,7200000,26,1,8
667,19850000,69,2,7
668,6399000,31,1,7
669,26871000,70,2,2
670,8300000,62,3,5
671,13700000,42,1,10
672,29109748,46,1,15
673,39050000,67,2,19
674,29990000,75,2,4
675,7300000,44,2,8
676,21500000,45,2,17
677,10150000,45,2,6
678,28300000,104,4,2
679,8800000,35,1,13
680,13100000,43,2,3
681,7250000,42,1,4
682,15570310,59,2,8
683,7500000,51,2,10
684,14000000,38,1,1
685,13900000,51,2,8
686,15450000,78,3,12
687,12500000,61,3,8
688,7800000,36,1,8
689,12826150,71,3,10
690,31347643,100,2,5
691,37500000,87,3,1
692,9500000,58,3,9
693,17943000,58,2,8
694,12000000,40,2,3
695,18000000,70,3,2
696,11500000,79,3,1
697,14600000,43,1,7
698,12000000,75,3,12
699,41990000,70,2,13
700,35990000,70,3,5
701,29000000,74,3,15
702,17559556,38,1,21
703,17830000,34,1,16
704,15000000,87,3,12
705,41727366,72,2,13
706,23900000,63,2,7
707,35150000,121,5,6
708,23990000,69,2,17
709,17990000,70,3,6
710,6800000,46,2,7
711,7999999,38,1,1
712,15000000,53,2,6
713,9033230,36,1,5
714,6188700,46,1,6
715,9351379,29,1,8
716,23500000,56,1,5
717,12599000,45,1,7
718,23000000,57,2,7
719,21650000,57,2,2
720,15300000,62,3,2
721,10300000,37,1,2
722,6200000,38,1,7
723,8550000,30,1,2
724,9500000,51,1,13
725,24540653,45,1,25
726,15108700,64,3,12
727,31000000,88,3,24
728,15481000,56,2,5
729,8000000,36,1,8
730,15543228,37,2,11
731,39800000,81,3,4
732,19712900,62,2,24
733,15700000,58,3,7
734,21047760,55,2,4
735,13150000,42,1,3
736,25248960,79,3,18
737,13700000,45,2,5
738,19900000,95,3,7
739,23160780,66,2,2
740,17800000,65,3,2
741,39490000,87,2,22
742,17227719,58,2,3
743,22500000,66,2,15
744,9381776,29,1,10
745,12500000,36,1,6
746,34000000,100,4,4
747,15500000,84,2,11
748,9700000,42,1,15
749,13650000,63,3,6
750,39900000,113,3,3
751,41500000,50,2,2
752,9000000,58,2,12
753,8500000,41,1,15
754,6100000,49,2,5
755,5100000,37,1,3
756,15500000,58,2,24
757,11100000,40,1,17
758,4530181,31,1,2
759,17800000,75,3,15
760,21000000,111,5,16
761,16500000,60,2,6
762,6999719,25,1,3
763,31100360,76,3,4
764,36000000,62,2,9
765,6500000,37,1,9
766,26456722,103,2,5
767,11438448,41,1,3
768,6591874,26,1,3
769,16500000,61,3,1
770,14464250,58,3,28
771,36232855,72,2,11
772,6985187,28,1,4
773,18900000,50,2,4
774,17500000,65,3,13
775,11000000,41,2,3
776,13500000,60,1,8
777,9500000,42,2,4
778,8200000,44,1,13
779,13530548,49,2,24
780,22800000,61,2,1
781,6600000,32,1,14
782,31999000,81,3,4
783,12755259,63,2,7
784,18300000,60,3,2
785,17900000,46,2,10
786,13990000,52,2,6
787,5500000,30,1,2
788,10500000,51,3,5
789,14000000,33,1,5
790,9600000,41,1,11
791,12300000,66,2,11
792,31950000,71,3,4
793,46084000,80,3,6
794,5650000,30,1,3
795,27681693,76,3,16
796,45151000,90,3,3
797,18990000,58,3,11
798,9500000,53,1,7
799,13900000,57,2,13
800,5300000,38,1,1
801,11900000,51,2,6
802,9800000,51,2,1
803,29500000,78,3,4
804,18000000,43,1,19
805,8880000,51,2,5
806,11000000,50,2,8
807,44823780,111,3,12
808,13400000,68,2,12
809,21800000,60,2,7
810,13350000,40,2,13
811,5900000,45,2,2
812,9200000,39,1,2
813,33500000,75,3,19
814,22054335,98,4,14
815,38060000,72,3,17
816,9200000,26,1,4
817,16500000,53,2,12
818,6350000,35,1,16
819,11005434,40,2,13
820,15265796,64,3,15
821,24500000,64,3,1
822,6990000,44,1,6
823,13500000,58,3,8
824,40714980,111,3,4
825,16985889,61,3,13
826,32346750,73,2,11
827,13200000,64,3,7
828,16635727,45,1,5
829,15189881,87,3,23
830,38759350,92,3,11
831,18000000,81,3,3
832,18698805,57,2,5
833,12000000,40,2,3
834,10100000,35,1,1
835,34000000,103,3,9
836,12950000,64,2,3
837,16675095,55,2,10
838,19900000,56,1,13
839,30000000,64,2,4
840,13000000,42,2,4
841,22600000,60,3,5
842,11800000,64,3,5
843,9300000,40,1,6
844,13500000,58,1,6
845,18630000,37,1,14
846,9200000,44,1,7
847,12746446,38,2,8
848,24022380,36,1,12
849,10835894,38,2,11
850,17711564,59,3,11
851,8300000,53,2,2
852,9950000,45,2,4
853,23800000,66,2,8
854,29917788,94,4,25
855,17767099,52,2,24
856,21000000,71,3,5
857,9600000,44,2,5
858,26900000,76,3,10
859,12700000,40,1,2
860,12500000,50,2,15
861,6900000,34,1,3
862,21200000,87,3,6
863,10000000,51,2,1
864,12100000,51,2,7
865,18500000,40,2,5
866,11000000,38,1,13
867,28165964,74,3,26
868,9780775,37,2,23
869,28138500,51,1,21
870,19999000,75,2,6
871,6592464,40,2,14
872,6500000,41,1,17
873,18055000,42,2,23
874,14735511,55,3,4
875,14500000,45,2,3
876,9650000,51,2,6
877,8400000,43,1,12
878,16400000,43,2,7
879,11000000,35,1,4
880,19602000,66,2,13
881,5300000,40,2,1
882,13900000,50,2,4
883,19700000,57,2,4
884,12500000,63,2,12
885,10500000,44,2,2
886,7752542,23,1,16
887,17000000,55,2,2
888,45800000,82,3,11
889,17800000,82,3,3
890,15990000,68,3,3
891,14000000,80,3,4
892,17748000,58,2,4
893,32000000,73,3,8
894,13300000,57,3,7
895,15500000,60,3,2
896,8350000,40,1,17
897,16100000,75,3,6
898,13650000,84,3,1
899,12550000,66,2,3
900,16401600,80,3,6
901,8987443,29,1,11
902,24794936,53,2,15
903,11500000,52,2,1
904,17500000,40,1,8
905,16550000,56,3,4
906,13899391,112,3,8
907,6300000,43,1,13
908,32722008,76,3,20
909,7520000,42,1,5
910,16499000,45,1,2
911,10900000,29,1,5
912,24000000,65,2,16
913,13200000,37,1,11
914,11800000,35,1,4
915,4300000,32,1,2
916,15216021,55,2,18
917,16770000,82,3,4
918,13500000,56,3,2
919,7329547,25,1,6
920,11800000,54,2,2
921,16000000,72,3,13
922,27850000,118,3,6
923,27300000,81,3,3
924,27000000,86,3,7
925,15500000,38,1,9
926,27550000,55,2,23
927,17000000,55,2,2
928,32000000,89,3,12
929,25000000,74,3,17
930,11915252,49,2,5
931,5500000,30,1,1
932,20159536,45,1,20
933,15900000,63,3,11
934,11976400,38,1,9
935,8879053,21,1,12
936,23900000,65,2,3
937,8500000,38,1,15
938,5586455,38,1,5
939,15739290,74,3,8
940,10450000,73,2,16
941,21607934,71,3,15
942,8770671,42,1,2
943,33611856,99,3,13
944,10500000,39,1,4
945,12300000,66,3,1
946,43363148,74,2,25
947,12750000,41,2,2
948,15000000,37,1,13
949,8300000,31,1,1
950,29000000,54,2,5
951,7600000,35,1,13
952,8412888,23,1,8
953,8425515,28,1,12
954,13000000,60,3,7
955,15500000,61,2,11
956,15300000,47,1,4
957,17800000,56,2,7
958,12566400,49,2,18
959,5079624,33,2,2
960,13000000,38,1,17
961,17990000,41,1,15
962,18950000,98,4,2
963,14800000,71,2,8
964,25000000,47,2,6
965,17300000,49,2,5
966,5800000,31,1,14
967,20120310,76,3,2
968,28000000,62,2,3
969,12000000,58,2,2
970,14300000,43,2,4
971,17448608,41,1,16
972,21777360,44,1,12
973,12900000,36,1,2
974,17500000,85,3,1
975,34201797,53,1,13
976,8500000,37,1,2
977,13150000,77,2,22
978,6300000,34,1,5
979,14500000,111,3,7
980,40000000,111,4,9
981,9782475,24,1,14
982,7609668,35,1,8
983,24952852,76,3,18
984,14900000,51,2,7
985,12850800,50,2,8
986,11999000,43,1,13
987,30600000,105,3,3
988,28900000,65,3,5
989,13000000,44,2,6
990,8299000,43,2,5
991,6600000,37,1,7
992,14800000,69,2,10
993,9000000,45,1,11
994,12800000,42,2,7
995,35900000,69,2,7
996,23000000,73,4,5
997,20900000,92,3,15
998,19803289,62,2,9
999,10654000,40,1,6
1000,14200000,62,2,14
1001,6100000,42,2,5
1002,14900000,80,3,6
1003,13900000,31,1,5
1004,13700000,62,2,16
1005,17800000,38,1,14
1006,11390850,45,2,19
1007,17000000,60,3,3
1008,7500000,32,1,4
1009,14500000,58,3,3
1010,24984508,41,1,2
1011,14900000,59,2,7
1012,20600000,38,1,14
1013,9938691,36,1,17
1014,8388145,30,1,8
1015,23500000,88,3,11
1016,6990000,41,1,9
1017,8100000,46,1,5
1018,35600560,68,2,16
1019,14900000,57,3,6
1020,24982380,42,1,12
1021,20000000,73,3,11
1022,12000000,36,1,14
1023,27000000,70,2,14
1024,10849000,42,1,3
1025,8343090,32,1,15
1026,26500000,61,3,7
1027,16400000,56,2,8
1028,18254889,69,3,14
1029,35000000,115,3,23
1030,12100000,62,2,14
1031,16500000,65,2,9
1032,11000000,63,2,3
1033,12250000,62,3,12
1034,7200000,38,1,2
1035,11335000,33,1,11
1036,13500000,50,2,2
1037,24600000,72,3,12
1038,11999999,40,1,10
1039,5500000,43,2,4
1040,17330140,50,2,27
1041,14082438,62,3,8
1042,13200000,38,1,10
1043,27500000,120,3,23
1044,11750000,36,1,5
1045,8700000,37,1,3
1046,14700000,36,1,9
1047,18131520,56,2,25
1048,38500000,69,3,3
1049,14700000,60,3,7
1050,7149000,34,1,4
1051,13500000,45,2,6
1052,18400000,60,2,13
1053,12200000,63,2,10
1054,5603528,33,1,6
1055,9500000,60,2,1
1056,10500000,38,1,11
1057,9490000,32,1,1
1058,8000000,38,1,15
1059,32900000,61,2,19
1060,16804267,50,2,4
1061,40000000,88,3,3
1062,17000000,54,2,7
1063,24721000,83,3,12
1064,11078326,43,1,10
1065,5500000,19,1,2
1066,9790000,64,3,5
1067,6850000,54,2,6
1068,18500000,70,3,13
1069,8991754,35,1,3
1070,14300000,42,2,5
1071,22200000,87,3,3
1072,15950000,54,2,1
1073,27900000,73,3,7
1074,29176312,80,3,13
1075,6000000,32,1,1
1076,12900000,43,2,5
1077,37776652,73,3,10
1078,46460764,81,3,5
1079,7500000,53,3,3
1080,11927139,34,1,11
1081,12817459,52,2,14
1082,9149999,58,2,4
1083,17387584,51,2,3
1084,11250000,64,3,4
1085,21847689,62,2,5
1086,7300000,29,1,5
1087,10700000,45,2,3
1088,35000000,86,3,2
1089,6790000,39,1,14
1090,25255500,56,2,23
1091,26000000,83,4,3
1092,10700000,45,2,10
1093,12950000,38,1,16
1094,10300000,34,1,1
1095,8200000,39,1,13
1096,8200000,42,1,13
1097,21951294,59,2,7
1098,6800000,42,1,3
1099,14000000,65,3,8
1100,13439334,65,2,21
1101,9100000,32,1,4
1102,9150000,59,2,15
1103,24900000,83,3,8
1104,30358000,70,2,27
1105,13500000,78,3,9
1106,12200000,43,2,2
1107,10800000,63,2,12
1108,18279228,85,4,5
1109,11500000,60,2,14
1110,16400000,53,2,4
1111,20390276,74,4,4
1112,7829672,24,1,6
1113,20064300,70,3,2
1114,18500000,66,3,11
1115,23000000,77,3,10
1116,18000000,39,1,12
1117,24070058,71,3,21
1118,17500000,98,4,8
1119,14800000,65,3,12
1120,13400000,58,3,2
1121,5900000,33,1,4
1122,8500000,44,2,1
1123,15300000,39,1,4
1124,16215010,37,1,7
1125,21200000,84,3,6
1126,9306748,50,2,2
1127,12000000,45,2,5
1128,18294250,84,3,2
1129,22900000,46,2,2
1130,14990000,53,2,9
1131,16500000,47,2,4
1132,25500000,90,3,3
1133,22200000,60,3,2
1134,12600000,48,2,2
1135,11272272,40,1,3
1136,20500000,63,2,15
1137,17185597,71,3,19
1138,12000000,32,1,6
1139,12400000,37,1,2
1140,36500000,85,4,2
1141,22500000,76,2,22
1142,15500000,82,3,17
1143,21000000,57,2,3
1144,9000000,38,1,11
1145,5850000,32,1,3
1146,25900000,77,3,18
1147,12416213,46,2,20
1148,10700000,48,2,6
1149,18373801,61,2,12
1150,7871295,25,1,2
